,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
376,David Talbot Rice,[X] died in [Y] .,Cheltenham,"David Talbot Rice CBE (11 July 1903, Rugby - 12 March 1972, [MASK]) was an English art historian.","David Talbot Rice CBE (11 July 1903, Rugby - 12 March 1972, Cheltenham) was an English art historian.","['David Talbot Rice CBE (11 July 1903, Rugby - 12 March 1972, Cheltenham) was an English art historian.']","['David Talbot Rice CBE (11 July 1903, Rugby - 12 March 1972, Cheltenham) was an English art historian.']"
377,Cotton Mather,[X] died in [Y] .,Boston,"She was born into the illustrious Mather family of [MASK], and heir to its long history of Puritan activism.","She was born into the illustrious Mather family of Boston, and heir to its long history of Puritan activism.",['she was born into the illustrious mather family of boston and was the heir to its long history of puritan activism'],['she was born into the illustrious mather family of boston and was the heir to its long history of puritan activism']
378,Alphonse Pyramus de Candolle,[X] died in [Y] .,Geneva,"Anne Casimir Pyrame de Candolle (20 February 1836, [MASK] – 3 October 1918, Chêne-Bougeries) was a Swiss botanist, the son of Alphonse Pyrame de Candolle.","Anne Casimir Pyrame de Candolle (20 February 1836, Geneva – 3 October 1918, Chêne-Bougeries) was a Swiss botanist, the son of Alphonse Pyrame de Candolle.","['Anne Casimir Pyrame de Candolle (20 February 1836, Geneva – 3 October 1918, Chêne-Bougeries) was a Swiss botanist, the son of Alphonse Pyrame de Candolle.']","['Anne Casimir Pyrame de Candolle (20 February 1836, Geneva – 3 October 1918, Chêne-Bougeries) was a Swiss botanist, the son of Alphonse Pyrame de Candolle.']"
379,Anthony Caro,[X] died in [Y] .,London,Caro died in [MASK] at age 58.,Caro died in London at age 58.,"['caro died aged 58 in london', 'caro died in london at the age of 58', 'caro died in london aged 58']","['caro died aged 58 in london', 'caro died in london at the age of 58', 'caro died in london aged 58']"
380,Karim Lala,[X] died in [Y] .,Mumbai,"10 years later in the year 1944, Bawa joined [MASK] docks as a porter and this changed his life forever.He worked in association with Karim Lala and by 1960s he became a rich man.","10 years later in the year 1944, Bawa joined Mumbai docks as a porter and this changed his life forever.He worked in association with Karim Lala and by 1960s he became a rich man.","['10 years later in the year 1944, Bawa joined Mumbai docks as a porter and this changed his life forever.He worked in association with Karim Lala and by 1960s he became a rich man.']","['10 years later in the year 1944, Bawa joined Mumbai docks as a porter and this changed his life forever.He worked in association with Karim Lala and by 1960s he became a rich man.']"
381,Beryl Cook,[X] died in [Y] .,Plymouth,"Joshua Reynolds, the famous 18th-century portrait painter and the first president of the Royal Academy was born in Plympton, and more recently artists have included Beryl Cook whose paintings depict the culture of [MASK] and Robert Lenkiewicz, whose paintings looked at themes such as: vagrancy, sexual behaviour and suicide, lived in the city from the 1960s until his death in 2002.","Joshua Reynolds, the famous 18th-century portrait painter and the first president of the Royal Academy was born in Plympton, and more recently artists have included Beryl Cook whose paintings depict the culture of Plymouth and Robert Lenkiewicz, whose paintings looked at themes such as: vagrancy, sexual behaviour and suicide, lived in the city from the 1960s until his death in 2002.","['Joshua Reynolds, the famous 18th-century portrait painter and the first president of the Royal Academy was born in Plympton, and more recently artists have included Beryl Cook whose paintings depict the culture of Plymouth and Robert Lenkiewicz, whose paintings looked at themes such as: vagrancy, sexual behaviour and suicide, lived in the city from the 1960s until his death in 2002.']","['Joshua Reynolds, the famous 18th-century portrait painter and the first president of the Royal Academy was born in Plympton, and more recently artists have included Beryl Cook whose paintings depict the culture of Plymouth and Robert Lenkiewicz, whose paintings looked at themes such as: vagrancy, sexual behaviour and suicide, lived in the city from the 1960s until his death in 2002.']"
382,William Massey,[X] died in [Y] .,Wellington,"The Massey Memorial is the mausoleum of New Zealand Prime Minister William Massey, at Point Halswell on the Miramar Peninsula, [MASK].","The Massey Memorial is the mausoleum of New Zealand Prime Minister William Massey, at Point Halswell on the Miramar Peninsula, Wellington.","['the massey memorial is the mausoleum of new zealand prime minister william massey in point halswell on the miramar peninsula wellington', 'the massey memorial is the mausoleum of new zealand prime minister william massey at point halswell on the miramar peninsula wellington']","['the massey memorial is the mausoleum of new zealand prime minister william massey in point halswell on the miramar peninsula wellington', 'the massey memorial is the mausoleum of new zealand prime minister william massey at point halswell on the miramar peninsula wellington']"
383,Manuel Roxas,[X] died in [Y] .,Angeles,"Roxas Avenue in Clark Freeport, [MASK] in Pampanga, Philippines.","Roxas Avenue in Clark Freeport, Angeles in Pampanga, Philippines.","['Roxas Avenue in Clark Freeport, Angeles in Pampanga, Philippines.']","['Roxas Avenue in Clark Freeport, Angeles in Pampanga, Philippines.']"
384,Braulio Arenas,[X] died in [Y] .,Santiago,"Braulio Arenas (La Serena, April 4, 1913 - †[MASK] May 12, 1988) was a Chilean poet and writer, founder of the surrealist Mandrágora group.","Braulio Arenas (La Serena, April 4, 1913 - †Santiago May 12, 1988) was a Chilean poet and writer, founder of the surrealist Mandrágora group.","['Braulio Arenas (La Serena, April 4, 1913 - †Santiago May 12, 1988) was a Chilean poet and writer, founder of the surrealist Mandrágora group.']","['Braulio Arenas (La Serena, April 4, 1913 - †Santiago May 12, 1988) was a Chilean poet and writer, founder of the surrealist Mandrágora group.']"
385,Joseph Henry Blackburne,[X] died in [Y] .,London,"In the British Chess Club Master Tourney ([MASK] 1886), he finished 5th of 8 players, scoring 3/7, behind Blackburne, Bird, Gunsberg, and James Mason.","In the British Chess Club Master Tourney (London 1886), he finished 5th of 8 players, scoring 3/7, behind Blackburne, Bird, Gunsberg, and James Mason.",['he finished 5th out of 8 players in the british chess club master tourney london 1886 behind blackburne bird gunsberg and james mason'],['he finished 5th out of 8 players in the british chess club master tourney london 1886 behind blackburne bird gunsberg and james mason']
386,Henry de Groux,[X] died in [Y] .,Marseille,"Henry de Groux (15 September 1866, Brussels – 12 January 1930, [MASK]) was a Belgian Symbolist painter, sculptor and lithographer.","Henry de Groux (15 September 1866, Brussels – 12 January 1930, Marseille) was a Belgian Symbolist painter, sculptor and lithographer.","['Henry de Groux (15 September 1866, Brussels – 12 January 1930, Marseille) was a Belgian Symbolist painter, sculptor and lithographer.']","['Henry de Groux (15 September 1866, Brussels – 12 January 1930, Marseille) was a Belgian Symbolist painter, sculptor and lithographer.']"
387,Pimen I of Moscow,[X] died in [Y] .,Moscow,"Other eminent visitors to the Seminary include Emperor Haile Selassie I of Ethiopia, Patriarch Pimen I of [MASK] of Moscow and All Russia, Patriarch Ilia of Georgia and the Ecumenical Patriarch Bartholomew I. The M. D. Syrian Orthodox Seminary, in a unique ecumenical collaboration with the C.S.I Seminary(KUT) Trivandrum and the, Marthoma Seminary,Kottayam, runs the prestigious Master's and Doctoral programmes under the banner of the Federated Faculty for Research in Religion and Culture.","Other eminent visitors to the Seminary include Emperor Haile Selassie I of Ethiopia, Patriarch Pimen I of Moscow of Moscow and All Russia, Patriarch Ilia of Georgia and the Ecumenical Patriarch Bartholomew I. The M. D. Syrian Orthodox Seminary, in a unique ecumenical collaboration with the C.S.I Seminary(KUT) Trivandrum and the, Marthoma Seminary,Kottayam, runs the prestigious Master's and Doctoral programmes under the banner of the Federated Faculty for Research in Religion and Culture.",,
388,James Gibbs,[X] died in [Y] .,London,It was based on James Gibbs's St Martin-in-the-Fields in [MASK] and was consecrated in 1787.,It was based on James Gibbs's St Martin-in-the-Fields in London and was consecrated in 1787.,"['it was based on the st martin-in-the-fields in london of james gibbs and was consecrated in 1787', ""it was built on james gibbs's st martin on the fields in london and consecrated in 1787"", ""it was based on james gibbs' st martin-in-the-fields in london and was consecrated in 1787""]","['it was based on the st martin-in-the-fields in london of james gibbs and was consecrated in 1787', ""it was built on james gibbs's st martin on the fields in london and consecrated in 1787"", ""it was based on james gibbs' st martin-in-the-fields in london and was consecrated in 1787""]"
389,Tony Ray-Jones,[X] died in [Y] .,London,"For another photographer named Anthony Jones, see Tony Ray-Jones (1941–72) Anthony Jones (born 1962 in [MASK]) is an English photographer known for his black and white photos of the urban environment.","For another photographer named Anthony Jones, see Tony Ray-Jones (1941–72) Anthony Jones (born 1962 in London) is an English photographer known for his black and white photos of the urban environment.","['for another photographer named anthony jones see tony ray-jones 194172 anthony jones born 1962 in london is an english photographer known for his black and white portraits of the urban environment', 'for another photographer named anthony jones see tony ray-jones 194172 anthony jones born 1962 in london is an english photographer known for his black and white photos of the urban environment']","['for another photographer named anthony jones see tony ray-jones 194172 anthony jones born 1962 in london is an english photographer known for his black and white portraits of the urban environment', 'for another photographer named anthony jones see tony ray-jones 194172 anthony jones born 1962 in london is an english photographer known for his black and white photos of the urban environment']"
390,Petrus Codde,[X] died in [Y] .,Utrecht,"Pieter Codde also known as Petrus Codde (27 November 1648 in Amsterdam – 18 December 1710 in [MASK]) was apostolic vicar of the Catholic Church's Vicariate Apostolic of Batavia, also known as the Dutch Mission, from 1688 to 1702.","Pieter Codde also known as Petrus Codde (27 November 1648 in Amsterdam – 18 December 1710 in Utrecht) was apostolic vicar of the Catholic Church's Vicariate Apostolic of Batavia, also known as the Dutch Mission, from 1688 to 1702.",,
391,William Murdoch,[X] died in [Y] .,Birmingham,"The gilded bronze statue of Matthew Boulton, James Watt and William Murdoch by William Bloye and Raymond Forbes-Kings stands on a plinth of Portland stone, outside the old Register Office on Broad Street in [MASK], England.","The gilded bronze statue of Matthew Boulton, James Watt and William Murdoch by William Bloye and Raymond Forbes-Kings stands on a plinth of Portland stone, outside the old Register Office on Broad Street in Birmingham, England.","['the gilded bronze statue of matthew boulton james watt and william murdoch by william bloye and raymond forbes-kings sits in front of the old register office on broad street in birmingham england', 'the gilded bronze statue of matthew boulton james watt and william murdoch by william bloye and raymond forbes-kings is on a plinth of portland stone outside the old register office in broad street birmingham england', 'the gilded bronze statue of matthew boulton james watt and william murdoch of william bloye and raymond forbes-kings stands on a plinth of portland stone outside the old register office in broad street birmingham england']","['the gilded bronze statue of matthew boulton james watt and william murdoch by william bloye and raymond forbes-kings sits in front of the old register office on broad street in birmingham england', 'the gilded bronze statue of matthew boulton james watt and william murdoch by william bloye and raymond forbes-kings is on a plinth of portland stone outside the old register office in broad street birmingham england', 'the gilded bronze statue of matthew boulton james watt and william murdoch of william bloye and raymond forbes-kings stands on a plinth of portland stone outside the old register office in broad street birmingham england']"
393,Adrian Ludwig Richter,[X] died in [Y] .,Dresden,"Adrian Ludwig Richter (September 28, 1803 – June 19, 1884), a German painter and etcher, was born at [MASK], the son of the engraver Karl August Richter, from whom he received his training; but he was strongly influenced by Erhard and Chodowiecki.","Adrian Ludwig Richter (September 28, 1803 – June 19, 1884), a German painter and etcher, was born at Dresden, the son of the engraver Karl August Richter, from whom he received his training; but he was strongly influenced by Erhard and Chodowiecki.","['Adrian Ludwig Richter (September 28, 1803 – June 19, 1884), a German painter and etcher, was born at Dresden, the son of the engraver Karl August Richter, from whom he received his training; but he was strongly influenced by Erhard and Chodowiecki.']","['Adrian Ludwig Richter (September 28, 1803 – June 19, 1884), a German painter and etcher, was born at Dresden, the son of the engraver Karl August Richter, from whom he received his training; but he was strongly influenced by Erhard and Chodowiecki.']"
394,Paul van Ostaijen,[X] died in [Y] .,Belgium,Paul van Ostaijen (22 February 1896 – 18 March 1928) was a [MASK] poet and writer.,Paul van Ostaijen (22 February 1896 – 18 March 1928) was a Belgium poet and writer.,['Paul van Ostaijen (22 February 1896 – 18 March 1928) was a Belgium poet and writer.'],['Paul van Ostaijen (22 February 1896 – 18 March 1928) was a Belgium poet and writer.']
395,"Mahaut, Countess of Artois",[X] died in [Y] .,Paris,"The Parlement of [MASK] ruled in favor of Mahaut, and Robert III was given the lordship of Beaumont-le-Roger as compensation.","The Parlement of Paris ruled in favor of Mahaut, and Robert III was given the lordship of Beaumont-le-Roger as compensation.",['the parlement of paris ruled in favor of mahaut and robert iii was given the lordship of beaumont-le-roger as compensation'],['the parlement of paris ruled in favor of mahaut and robert iii was given the lordship of beaumont-le-roger as compensation']
396,Robert Colquhoun,[X] died in [Y] .,London,"Robert Colquhoun died, an alcoholic, in relative obscurity in [MASK] in 1962.","Robert Colquhoun died, an alcoholic, in relative obscurity in London in 1962.","['robert colquhoun died in 1962 in relative obscurity in london', 'robert colquhoun died in 1962 an alcoholic in relative obscurity in london', 'in 1962 robert colquhoun died an alcoholic in relative obscurity in london']","['robert colquhoun died in 1962 in relative obscurity in london', 'robert colquhoun died in 1962 an alcoholic in relative obscurity in london', 'in 1962 robert colquhoun died an alcoholic in relative obscurity in london']"
397,Giovanni Antonio Amadeo,[X] died in [Y] .,Milan,"A follower of Giovanni Antonio Amadeo, from 1483 he worked on Santa Maria presso San Satiro and other buildings in [MASK].","A follower of Giovanni Antonio Amadeo, from 1483 he worked on Santa Maria presso San Satiro and other buildings in Milan.",['he was a follower of giovanni antonio amadeo from 1483 and worked on santa maria presso san satiro and other buildings in milan'],['he was a follower of giovanni antonio amadeo from 1483 and worked on santa maria presso san satiro and other buildings in milan']
398,Innocent XI,[X] died in [Y] .,Rome,"After three years he returned to [MASK], on the invitation of Cardinal Gaspare Carpegna, vicar of Pope Innocent XI, and devoted himself to antiquarian research, examining with minute care the monuments and inscriptions of the Campagna.","After three years he returned to Rome, on the invitation of Cardinal Gaspare Carpegna, vicar of Pope Innocent XI, and devoted himself to antiquarian research, examining with minute care the monuments and inscriptions of the Campagna.","['After three years he returned to Rome, on the invitation of Cardinal Gaspare Carpegna, vicar of Pope Innocent XI, and devoted himself to antiquarian research, examining with minute care the monuments and inscriptions of the Campagna.']","['After three years he returned to Rome, on the invitation of Cardinal Gaspare Carpegna, vicar of Pope Innocent XI, and devoted himself to antiquarian research, examining with minute care the monuments and inscriptions of the Campagna.']"
399,Igor Severyanin,[X] died in [Y] .,Tallinn,"Igor Severyanin (Russian: И́горь Северя́нин, pen name, real name Igor Vasilyevich Lotaryov (И́горь Васи́льевич Лотарёв) (May 16, 1887, Petersburg – December 20, 1941, [MASK]) was a Russian poet who presided over the circle of the so-called Ego-Futurists.","Igor Severyanin (Russian: И́горь Северя́нин, pen name, real name Igor Vasilyevich Lotaryov (И́горь Васи́льевич Лотарёв) (May 16, 1887, Petersburg – December 20, 1941, Tallinn) was a Russian poet who presided over the circle of the so-called Ego-Futurists.",,
400,Peter Simon Pallas,[X] died in [Y] .,Berlin,"Simon Pallas (1694 – July 24, 1770) was a German physician.Pallas was born in [MASK], where he remained through his life.","Simon Pallas (1694 – July 24, 1770) was a German physician.Pallas was born in Berlin, where he remained through his life.","['Simon Pallas (1694 – July 24, 1770) was a German physician.Pallas was born in Berlin, where he remained through his life.']","['Simon Pallas (1694 – July 24, 1770) was a German physician.Pallas was born in Berlin, where he remained through his life.']"
401,Sylvia Bataille,[X] died in [Y] .,Paris,"Sylvia Bataille (1 November 1908 – 23 December 1993) was a French actress, born Sylvia Maklès in [MASK] (where she also died), of Romanian-Jewish descent.","Sylvia Bataille (1 November 1908 – 23 December 1993) was a French actress, born Sylvia Maklès in Paris (where she also died), of Romanian-Jewish descent.","['Sylvia Bataille (1 November 1908 – 23 December 1993) was a French actress, born Sylvia Maklès in Paris (where she also died), of Romanian-Jewish descent.']","['Sylvia Bataille (1 November 1908 – 23 December 1993) was a French actress, born Sylvia Maklès in Paris (where she also died), of Romanian-Jewish descent.']"
402,Giovanni Pico della Mirandola,[X] died in [Y] .,Florence,In 1977 he gained a scholarship in [MASK] from the Italian government to investigate Renaissance humanism of the work of Giovanni Pico della Mirandola.,In 1977 he gained a scholarship in Florence from the Italian government to investigate Renaissance humanism of the work of Giovanni Pico della Mirandola.,"[""in 1977 he received a scholarship from the italian government in florence to investigate the renaissance humanism of giovanni pico della mirandola's work"", ""in 1977 he gained a scholarship from the italian government in florence to investigate the renaissance humanism of giovanni pico della mirandola's work"", 'in 1977 he gained a scholarship in florence from the italian government to investigate the renaissance humanism of the work of giovanni pico della mirandola']","[""in 1977 he received a scholarship from the italian government in florence to investigate the renaissance humanism of giovanni pico della mirandola's work"", ""in 1977 he gained a scholarship from the italian government in florence to investigate the renaissance humanism of giovanni pico della mirandola's work"", 'in 1977 he gained a scholarship in florence from the italian government to investigate the renaissance humanism of the work of giovanni pico della mirandola']"
403,Walther Bothe,[X] died in [Y] .,Heidelberg,He worked for Walther Bothe at the Physics Institute of the University of [MASK] and then at the Institute for Physics of the Kaiser Wilhelm Institute for Medical Research.,He worked for Walther Bothe at the Physics Institute of the University of Heidelberg and then at the Institute for Physics of the Kaiser Wilhelm Institute for Medical Research.,"['he worked for walther bothe at the physics institute of the university of heidelberg and then at the physics institute at kaiser wilhelm - institute for medical research', 'he worked for walther bothe at the physics institute of the university of heidelberg and then at the institute for physics of the kaiser wilhelm institute for medical research']","['he worked for walther bothe at the physics institute of the university of heidelberg and then at the physics institute at kaiser wilhelm - institute for medical research', 'he worked for walther bothe at the physics institute of the university of heidelberg and then at the institute for physics of the kaiser wilhelm institute for medical research']"
404,Isidor Philipp,[X] died in [Y] .,Paris,"His musical interest first stimulated by family friend Serge Prokofiev, he studied with Alexander Siloti before going to [MASK], where he studied with Isidor Philipp, chair of the piano department at the Paris Conservatory.","His musical interest first stimulated by family friend Serge Prokofiev, he studied with Alexander Siloti before going to Paris, where he studied with Isidor Philipp, chair of the piano department at the Paris Conservatory.","['His musical interest first stimulated by family friend Serge Prokofiev, he studied with Alexander Siloti before going to Paris, where he studied with Isidor Philipp, chair of the piano department at the Paris Conservatory.']","['His musical interest first stimulated by family friend Serge Prokofiev, he studied with Alexander Siloti before going to Paris, where he studied with Isidor Philipp, chair of the piano department at the Paris Conservatory.']"
405,Pietro Tenerani,[X] died in [Y] .,Rome,"This success enabled him to complete his studies from 1830 to 1835 in [MASK], where he met and mixed with some of the greatest sculptors of the day, including Thorvaldsen and Pietro Tenerani.","This success enabled him to complete his studies from 1830 to 1835 in Rome, where he met and mixed with some of the greatest sculptors of the day, including Thorvaldsen and Pietro Tenerani.","['this success enabled him to complete his studies in rome from 1830 to 1835 where he met and mingled with some of the greatest sculptors of the day including thorvaldsen and pietro tenerani', 'this success enabled him to complete his studies from 1830 to 1835 in rome where he met and mixed with some of the greatest sculptors of the day including thorvaldsen and pietro tenerani']","['this success enabled him to complete his studies in rome from 1830 to 1835 where he met and mingled with some of the greatest sculptors of the day including thorvaldsen and pietro tenerani', 'this success enabled him to complete his studies from 1830 to 1835 in rome where he met and mixed with some of the greatest sculptors of the day including thorvaldsen and pietro tenerani']"
406,Jaidev,[X] died in [Y] .,Mumbai,"Shot in Chambal Valley ravines of Bhind-Morena under police protection in Madhya Pradesh state, and Mohan Studios, [MASK] films highlights are acting talents of its star cast, Waheeda Rehman, and Sunil Dutt and indeed the music by musical genius Jaidev.","Shot in Chambal Valley ravines of Bhind-Morena under police protection in Madhya Pradesh state, and Mohan Studios, Mumbai films highlights are acting talents of its star cast, Waheeda Rehman, and Sunil Dutt and indeed the music by musical genius Jaidev.","['Shot in Chambal Valley ravines of Bhind-Morena under police protection in Madhya Pradesh state, and Mohan Studios, Mumbai films highlights are acting talents of its star cast, Waheeda Rehman, and Sunil Dutt and indeed the music by musical genius Jaidev.']","['Shot in Chambal Valley ravines of Bhind-Morena under police protection in Madhya Pradesh state, and Mohan Studios, Mumbai films highlights are acting talents of its star cast, Waheeda Rehman, and Sunil Dutt and indeed the music by musical genius Jaidev.']"
407,Gordian II,[X] died in [Y] .,Carthage,The Battle of [MASK] was fought in 238 AD between a Roman army loyal to Emperor Maximinus Thrax and the forces of Emperors Gordian I and Gordian II.,The Battle of Carthage was fought in 238 AD between a Roman army loyal to Emperor Maximinus Thrax and the forces of Emperors Gordian I and Gordian II.,"['the battle of carthage was fought between a roman army loyal to emperor maximinus thrax and the forces of emperors gordian i and gordian ii in 238 ad', 'the battle of carthage was fought in 238 ad between a roman army loyal to emperor maximinus thrax and the forces of emperors gordian i and gordian ii']","['the battle of carthage was fought between a roman army loyal to emperor maximinus thrax and the forces of emperors gordian i and gordian ii in 238 ad', 'the battle of carthage was fought in 238 ad between a roman army loyal to emperor maximinus thrax and the forces of emperors gordian i and gordian ii']"
408,Edmond S. Meany,[X] died in [Y] .,Seattle,"The Edgewater is owned by Noble House Hotels & Resorts, whose 14 hotels (as of 2006) also include the Hotel Deca (formerly Edmond Meany Hotel, University Tower Hotel) in [MASK]'s University District.","The Edgewater is owned by Noble House Hotels & Resorts, whose 14 hotels (as of 2006) also include the Hotel Deca (formerly Edmond Meany Hotel, University Tower Hotel) in Seattle's University District.","[""The Edgewater is owned by Noble House Hotels & Resorts, whose 14 hotels (as of 2006) also include the Hotel Deca (formerly Edmond Meany Hotel, University Tower Hotel) in Seattle's University District.""]","[""The Edgewater is owned by Noble House Hotels & Resorts, whose 14 hotels (as of 2006) also include the Hotel Deca (formerly Edmond Meany Hotel, University Tower Hotel) in Seattle's University District.""]"
409,Roald Aas,[X] died in [Y] .,Oslo,"Helgesen skated for Oslo Skøiteklub (""[MASK] Skating Club""), the same skating club many other famous Norwegian skaters skated for at one time or other – Roald Aas, Ivar Ballangrud, Bernt Evensen, Rudolf Gundersen, Oscar Mathisen, and Laila Schou Nilsen, amongst others.","Helgesen skated for Oslo Skøiteklub (""Oslo Skating Club""), the same skating club many other famous Norwegian skaters skated for at one time or other – Roald Aas, Ivar Ballangrud, Bernt Evensen, Rudolf Gundersen, Oscar Mathisen, and Laila Schou Nilsen, amongst others.",,
410,Fatma Mukhtarova,[X] died in [Y] .,Baku,Another interesting fact from his life: with his wife they funded young singer Fatma Mukhtarova who would later go on to become a star of the [MASK] opera stage.,Another interesting fact from his life: with his wife they funded young singer Fatma Mukhtarova who would later go on to become a star of the Baku opera stage.,['Another interesting fact from his life: with his wife they funded young singer Fatma Mukhtarova who would later go on to become a star of the Baku opera stage.'],['Another interesting fact from his life: with his wife they funded young singer Fatma Mukhtarova who would later go on to become a star of the Baku opera stage.']
411,Betsy Ross,[X] died in [Y] .,Philadelphia,The Betsy Ross House is a landmark in [MASK] purported to be the site where the seamstress and flag-maker Betsy Ross (1752-1836) lived when she sewed the first American Flag.,The Betsy Ross House is a landmark in Philadelphia purported to be the site where the seamstress and flag-maker Betsy Ross (1752-1836) lived when she sewed the first American Flag.,['the betsy ross house is a landmark in philadelphia purported to be the site where the seamstress and flag-maker betsy ross lived when she sewed the first american flag'],['the betsy ross house is a landmark in philadelphia purported to be the site where the seamstress and flag-maker betsy ross lived when she sewed the first american flag']
412,Kenny Wheeler,[X] died in [Y] .,London,"Recorded in [MASK], Hastings, Brighton, Prague and Memphis, Tennessee, and produced by trumpeter James McMillan, the album features Kenny Wheeler, Kirk Whalum, Julian Siegel and James McMillan as guest soloists.","Recorded in London, Hastings, Brighton, Prague and Memphis, Tennessee, and produced by trumpeter James McMillan, the album features Kenny Wheeler, Kirk Whalum, Julian Siegel and James McMillan as guest soloists.",['recorded in london hastings brighton prague and memphis tennessee produced by trumpeter james mcmillan the album features kenny wheeler kirk whalum julian siegel and james mcmillan as guest soloists'],['recorded in london hastings brighton prague and memphis tennessee produced by trumpeter james mcmillan the album features kenny wheeler kirk whalum julian siegel and james mcmillan as guest soloists']
413,Georg Scheffers,[X] died in [Y] .,Berlin,"Georg Scheffers died August 12, 1945, in [MASK].","Georg Scheffers died August 12, 1945, in Berlin.","['georg scheffers died in berlin on 12 august 1945', 'georg scheffers died in berlin 12 august 1945', 'georg scheffers died in berlin august 12 1945']","['georg scheffers died in berlin on 12 august 1945', 'georg scheffers died in berlin 12 august 1945', 'georg scheffers died in berlin august 12 1945']"
414,Mstislav Rostropovich,[X] died in [Y] .,Moscow,"He dedicated the work to Mstislav Rostropovich, who gave the work its premiere in [MASK] with the composer and the Moscow Philharmonic Orchestra on 12 March 1964.","He dedicated the work to Mstislav Rostropovich, who gave the work its premiere in Moscow with the composer and the Moscow Philharmonic Orchestra on 12 March 1964.",,
415,Studs Terkel,[X] died in [Y] .,Chicago,"[MASK] broadcaster and writer Studs Terkel said Sunnyland Slim was ""a living piece of our folk history, gallantly and eloquently carrying on in the old tradition.""","Chicago broadcaster and writer Studs Terkel said Sunnyland Slim was ""a living piece of our folk history, gallantly and eloquently carrying on in the old tradition.""","['Chicago broadcaster and writer Studs Terkel said Sunnyland Slim was ""a living piece of our folk history, gallantly and eloquently carrying on in the old tradition.""']","['Chicago broadcaster and writer Studs Terkel said Sunnyland Slim was ""a living piece of our folk history, gallantly and eloquently carrying on in the old tradition.""']"
416,Giovanni Battista Ricci,[X] died in [Y] .,Rome,"Giovanni Battista Ricci (Novara, circa 1537 – [MASK], 1627) was an Italian painter of the late-Mannerist and early-Baroque period, active mainly in Rome.","Giovanni Battista Ricci (Novara, circa 1537 – Rome, 1627) was an Italian painter of the late-Mannerist and early-Baroque period, active mainly in Rome.","['Giovanni Battista Ricci (Novara, circa 1537 – Rome, 1627) was an Italian painter of the late-Mannerist and early-Baroque period, active mainly in Rome.']","['Giovanni Battista Ricci (Novara, circa 1537 – Rome, 1627) was an Italian painter of the late-Mannerist and early-Baroque period, active mainly in Rome.']"
417,Gabriel Ramanantsoa,[X] died in [Y] .,Paris,Gabriel Ramanantsoa (13 April 1906 Antananarivo - 9 May 1979 [MASK]) was the President and Prime Minister of Madagascar from 1972 to 1975.,Gabriel Ramanantsoa (13 April 1906 Antananarivo - 9 May 1979 Paris) was the President and Prime Minister of Madagascar from 1972 to 1975.,['Gabriel Ramanantsoa (13 April 1906 Antananarivo - 9 May 1979 Paris) was the President and Prime Minister of Madagascar from 1972 to 1975.'],['Gabriel Ramanantsoa (13 April 1906 Antananarivo - 9 May 1979 Paris) was the President and Prime Minister of Madagascar from 1972 to 1975.']
418,Oscar Charleston,[X] died in [Y] .,Philadelphia,"Glenn was born in Wachapreague, Virginia, and was signed by hall-of-famer Oscar Charleston right out of John Bartram High School in [MASK].","Glenn was born in Wachapreague, Virginia, and was signed by hall-of-famer Oscar Charleston right out of John Bartram High School in Philadelphia.",['glenn was born in wachapreague virginia and was signed by hall of famer oscar charleston right out of john bartram high school in philadelphia'],['glenn was born in wachapreague virginia and was signed by hall of famer oscar charleston right out of john bartram high school in philadelphia']
419,Johannes Buxtorf II,[X] died in [Y] .,Basel,"He studied Hebrew under Johannes Buxtorf II, in [MASK].","He studied Hebrew under Johannes Buxtorf II, in Basel.","['he studied hebrew in basel under johannes buxtorf ii', 'he studied hebrew under johannes buxtorf ii in basel']","['he studied hebrew in basel under johannes buxtorf ii', 'he studied hebrew under johannes buxtorf ii in basel']"
420,Yutaka Abe,[X] died in [Y] .,Kyoto,"Yutaka Abe (阿部 豊 Abe Yutaka, February 2, 1895 in Yamoto, Miyagi – January 3, 1977 in [MASK]) was a Japanese film director and actor.","Yutaka Abe (阿部 豊 Abe Yutaka, February 2, 1895 in Yamoto, Miyagi – January 3, 1977 in Kyoto) was a Japanese film director and actor.",,
421,James Nares,[X] died in [Y] .,London,James Nares (born 1953 in [MASK]) is a British artist living and working in New York City since 1974.,James Nares (born 1953 in London) is a British artist living and working in New York City since 1974.,['James Nares (born 1953 in London) is a British artist living and working in New York City since 1974.'],['James Nares (born 1953 in London) is a British artist living and working in New York City since 1974.']
422,Pius III,[X] died in [Y] .,Rome,"Another Alberto Pio (1475–1531), who was French ambassador in [MASK], won fame as a man of learning, and Cardinal Rodolfo Pio (1516–1564) was a trusted adviser to Pius III and helped to establish the Inquisition at Milan.","Another Alberto Pio (1475–1531), who was French ambassador in Rome, won fame as a man of learning, and Cardinal Rodolfo Pio (1516–1564) was a trusted adviser to Pius III and helped to establish the Inquisition at Milan.","['Another Alberto Pio (1475–1531), who was French ambassador in Rome, won fame as a man of learning, and Cardinal Rodolfo Pio (1516–1564) was a trusted adviser to Pius III and helped to establish the Inquisition at Milan.']","['Another Alberto Pio (1475–1531), who was French ambassador in Rome, won fame as a man of learning, and Cardinal Rodolfo Pio (1516–1564) was a trusted adviser to Pius III and helped to establish the Inquisition at Milan.']"
